common_name,scientific_name,genus,family,order,category
Tufted Flycatcher (Costa Rican),Mitrephanes phaeocercus aurantiiventris,Mitrephanes,Tyrannidae,Passeriformes,group (monotypic)
Tufted Flycatcher (South American),Mitrephanes phaeocercus berlepschi,Mitrephanes,Tyrannidae,Passeriformes,group (monotypic)
Olive Flycatcher,Mitrephanes olivaceus,Mitrephanes,Tyrannidae,Passeriformes,species
Olive-sided Flycatcher,Contopus cooperi,Contopus,Tyrannidae,Passeriformes,species
Ochraceous Pewee,Contopus ochraceus,Contopus,Tyrannidae,Passeriformes,species
Greater Pewee,Contopus pertinax,Contopus,Tyrannidae,Passeriformes,species
Greater Pewee (Mexican),Contopus pertinax pertinax,Contopus,Tyrannidae,Passeriformes,group (monotypic)
Greater Pewee (Central American),Contopus pertinax minor,Contopus,Tyrannidae,Passeriformes,group (monotypic)
Dark Pewee,Contopus lugubris,Contopus,Tyrannidae,Passeriformes,species
Smoke-colored Pewee,Contopus fumigatus,Contopus,Tyrannidae,Passeriformes,species
Jamaican Pewee,Contopus pallidus,Contopus,Tyrannidae,Passeriformes,species
Tumbes Pewee,Contopus punensis,Contopus,Tyrannidae,Passeriformes,species
White-throated Pewee,Contopus albogularis,Contopus,Tyrannidae,Passeriformes,species
Blackish Pewee,Contopus nigrescens,Contopus,Tyrannidae,Passeriformes,species
Southern Tropical Pewee,Contopus cinereus,Contopus,Tyrannidae,Passeriformes,species
Western Wood-Pewee,Contopus sordidulus,Contopus,Tyrannidae,Passeriformes,species
Northern Tropical Pewee,Contopus bogotensis,Contopus,Tyrannidae,Passeriformes,species
tropical pewee sp.,Contopus punensis/cinereus/bogotensis,Contopus,Tyrannidae,Passeriformes,spuh
Eastern Wood-Pewee,Contopus virens,Contopus,Tyrannidae,Passeriformes,species
Western x Eastern Wood-Pewee (hybrid),Contopus sordidulus x virens,Contopus,Tyrannidae,Passeriformes,hybrid
Western/Eastern Wood-Pewee,Contopus sordidulus/virens,Contopus,Tyrannidae,Passeriformes,slash
Cuban Pewee,Contopus caribaeus,Contopus,Tyrannidae,Passeriformes,species
Hispaniolan Pewee,Contopus hispaniolensis,Contopus,Tyrannidae,Passeriformes,species
Lesser Antillean Pewee,Contopus latirostris,Contopus,Tyrannidae,Passeriformes,species
Lesser Antillean Pewee (Lesser Antilles),Contopus latirostris brunneicapillus,Contopus,Tyrannidae,Passeriformes,group (monotypic)
Lesser Antillean Pewee (Puerto Rico),Contopus latirostris blancoi,Contopus,Tyrannidae,Passeriformes,group (monotypic)
Lesser Antillean Pewee (St. Lucia),Contopus latirostris latirostris,Contopus,Tyrannidae,Passeriformes,group (monotypic)
pewee sp. (Contopus sp.),Contopus sp.,Contopus,Tyrannidae,Passeriformes,spuh
Fuscous Flycatcher,Cnemotriccus fuscatus,Cnemotriccus,Tyrannidae,Passeriformes,species
Fuscous Flycatcher (Campina),Cnemotriccus fuscatus duidae,Cnemotriccus,Tyrannidae,Passeriformes,group (monotypic)
Fuscous Flycatcher (Fuscous),Cnemotriccus fuscatus [fuscatus Group],Cnemotriccus,Tyrannidae,Passeriformes,group (polytypic)
Yellow-bellied Flycatcher,Empidonax flaviventris,Empidonax,Tyrannidae,Passeriformes,species
Acadian Flycatcher,Empidonax virescens,Empidonax,Tyrannidae,Passeriformes,species
Alder Flycatcher,Empidonax alnorum,Empidonax,Tyrannidae,Passeriformes,species
Willow Flycatcher,Empidonax traillii,Empidonax,Tyrannidae,Passeriformes,species
Willow Flycatcher (Eastern),Empidonax traillii traillii,Empidonax,Tyrannidae,Passeriformes,group (monotypic)
Willow Flycatcher (Northwestern),Empidonax traillii brewsteri/adastus,Empidonax,Tyrannidae,Passeriformes,group (polytypic)
Willow Flycatcher (Southwestern),Empidonax traillii extimus,Empidonax,Tyrannidae,Passeriformes,group (monotypic)
Alder/Willow Flycatcher (Traill's Flycatcher),Empidonax alnorum/traillii,Empidonax,Tyrannidae,Passeriformes,slash
White-throated Flycatcher,Empidonax albigularis,Empidonax,Tyrannidae,Passeriformes,species
Least Flycatcher,Empidonax minimus,Empidonax,Tyrannidae,Passeriformes,species
Hammond's Flycatcher,Empidonax hammondii,Empidonax,Tyrannidae,Passeriformes,species
Gray Flycatcher,Empidonax wrightii,Empidonax,Tyrannidae,Passeriformes,species
Dusky Flycatcher,Empidonax oberholseri,Empidonax,Tyrannidae,Passeriformes,species
Hammond's/Dusky Flycatcher,Empidonax hammondii/oberholseri,Empidonax,Tyrannidae,Passeriformes,slash
Gray/Dusky Flycatcher,Empidonax wrightii/oberholseri,Empidonax,Tyrannidae,Passeriformes,slash
Pine Flycatcher,Empidonax affinis,Empidonax,Tyrannidae,Passeriformes,species
Western Flycatcher,Empidonax difficilis,Empidonax,Tyrannidae,Passeriformes,species
Western Flycatcher (Pacific-slope),Empidonax difficilis [difficilis Group],Empidonax,Tyrannidae,Passeriformes,group (polytypic)
Western Flycatcher (Cordilleran),Empidonax difficilis occidentalis/hellmayri,Empidonax,Tyrannidae,Passeriformes,group (polytypic)
Western Flycatcher (Pacific-slope x Cordilleran Flycatcher),Empidonax difficilis difficilis x hellmayri,Empidonax,Tyrannidae,Passeriformes,intergrade
Yellowish Flycatcher,Empidonax flavescens,Empidonax,Tyrannidae,Passeriformes,species
Yellowish Flycatcher (Northern),Empidonax flavescens imperturbatus/salvini,Empidonax,Tyrannidae,Passeriformes,group (polytypic)
Yellowish Flycatcher (Southern),Empidonax flavescens flavescens,Empidonax,Tyrannidae,Passeriformes,group (monotypic)
Buff-breasted Flycatcher,Empidonax fulvifrons,Empidonax,Tyrannidae,Passeriformes,species
Black-capped Flycatcher,Empidonax atriceps,Empidonax,Tyrannidae,Passeriformes,species
Empidonax sp.,Empidonax sp.,Empidonax,Tyrannidae,Passeriformes,spuh
Black Phoebe,Sayornis nigricans,Sayornis,Tyrannidae,Passeriformes,species
Black Phoebe (Northern),Sayornis nigricans [nigricans Group],Sayornis,Tyrannidae,Passeriformes,group (polytypic)
Black Phoebe (White-winged),Sayornis nigricans latirostris/angustirostris,Sayornis,Tyrannidae,Passeriformes,group (polytypic)
Eastern Phoebe,Sayornis phoebe,Sayornis,Tyrannidae,Passeriformes,species
Black x Eastern Phoebe (hybrid),Sayornis nigricans x phoebe,Sayornis,Tyrannidae,Passeriformes,hybrid
Black/Eastern Phoebe,Sayornis nigricans/phoebe,Sayornis,Tyrannidae,Passeriformes,slash
Say's Phoebe,Sayornis saya,Sayornis,Tyrannidae,Passeriformes,species
Black x Say's Phoebe (hybrid),Sayornis nigricans x saya,Sayornis,Tyrannidae,Passeriformes,hybrid
phoebe sp.,Sayornis sp.,Sayornis,Tyrannidae,Passeriformes,spuh
Chapada Flycatcher,Guyramemua affine,Guyramemua,Tyrannidae,Passeriformes,species
Suiriri/Chapada Flycatcher,Suiriri suiriri/Guyramemua affine,Suiriri,Tyrannidae,Passeriformes,slash
Northern Scrub-Flycatcher,Sublegatus arenarum,Sublegatus,Tyrannidae,Passeriformes,species
Amazonian Scrub-Flycatcher,Sublegatus obscurior,Sublegatus,Tyrannidae,Passeriformes,species
Southern Scrub-Flycatcher,Sublegatus modestus,Sublegatus,Tyrannidae,Passeriformes,species
scrub-flycatcher sp.,Sublegatus sp.,Sublegatus,Tyrannidae,Passeriformes,spuh
Vermilion Flycatcher,Pyrocephalus rubinus,Pyrocephalus,Tyrannidae,Passeriformes,species
Vermilion Flycatcher (Northern),Pyrocephalus rubinus [mexicanus Group],Pyrocephalus,Tyrannidae,Passeriformes,group (polytypic)
Vermilion Flycatcher (saturatus),Pyrocephalus rubinus saturatus,Pyrocephalus,Tyrannidae,Passeriformes,group (monotypic)
Vermilion Flycatcher (obscurus Group),Pyrocephalus rubinus [obscurus Group],Pyrocephalus,Tyrannidae,Passeriformes,group (polytypic)
Vermilion Flycatcher (Austral),Pyrocephalus rubinus rubinus,Pyrocephalus,Tyrannidae,Passeriformes,group (monotypic)
Brujo Flycatcher,Pyrocephalus nanus,Pyrocephalus,Tyrannidae,Passeriformes,species
Brujo Flycatcher (Galapagos),Pyrocephalus nanus nanus,Pyrocephalus,Tyrannidae,Passeriformes,group (monotypic)
Brujo Flycatcher (San Cristobal),Pyrocephalus nanus dubius,Pyrocephalus,Tyrannidae,Passeriformes,group (monotypic)
Austral Negrito,Lessonia rufa,Lessonia,Tyrannidae,Passeriformes,species
Andean Negrito,Lessonia oreas,Lessonia,Tyrannidae,Passeriformes,species
Austral/Andean Negrito,Lessonia rufa/oreas,Lessonia,Tyrannidae,Passeriformes,slash
Riverside Tyrant,Knipolegus orenocensis,Knipolegus,Tyrannidae,Passeriformes,species
Riverside Tyrant (Orinoco),Knipolegus orenocensis orenocensis,Knipolegus,Tyrannidae,Passeriformes,group (monotypic)
Riverside Tyrant (Sclater's),Knipolegus orenocensis sclateri,Knipolegus,Tyrannidae,Passeriformes,group (monotypic)
Riverside Tyrant (Xingu),Knipolegus orenocensis xinguensis,Knipolegus,Tyrannidae,Passeriformes,group (monotypic)
Rufous-tailed Tyrant,Knipolegus poecilurus,Knipolegus,Tyrannidae,Passeriformes,species
Amazonian Black-Tyrant,Knipolegus poecilocercus,Knipolegus,Tyrannidae,Passeriformes,species
Caatinga Black-Tyrant,Knipolegus franciscanus,Knipolegus,Tyrannidae,Passeriformes,species
Crested Black-Tyrant,Knipolegus lophotes,Knipolegus,Tyrannidae,Passeriformes,species
Velvety Black-Tyrant,Knipolegus nigerrimus,Knipolegus,Tyrannidae,Passeriformes,species
Jelski's Black-Tyrant,Knipolegus signatus,Knipolegus,Tyrannidae,Passeriformes,species
Plumbeous Black-Tyrant,Knipolegus cabanisi,Knipolegus,Tyrannidae,Passeriformes,species
Jelski's/Plumbeous Black-Tyrant,Knipolegus signatus/cabanisi,Knipolegus,Tyrannidae,Passeriformes,slash
Blue-billed Black-Tyrant,Knipolegus cyanirostris,Knipolegus,Tyrannidae,Passeriformes,species
Cinereous Tyrant,Knipolegus striaticeps,Knipolegus,Tyrannidae,Passeriformes,species
White-winged Black-Tyrant,Knipolegus aterrimus,Knipolegus,Tyrannidae,Passeriformes,species
White-winged Black-Tyrant (White-rumped),Knipolegus aterrimus heterogyna,Knipolegus,Tyrannidae,Passeriformes,group (monotypic)
White-winged Black-Tyrant (White-winged),Knipolegus aterrimus aterrimus/anthracinus,Knipolegus,Tyrannidae,Passeriformes,group (polytypic)
Hudson's Black-Tyrant,Knipolegus hudsoni,Knipolegus,Tyrannidae,Passeriformes,species
White-winged/Hudson's Black-Tyrant,Knipolegus aterrimus/hudsoni,Knipolegus,Tyrannidae,Passeriformes,slash
black-tyrant sp.,Knipolegus sp.,Knipolegus,Tyrannidae,Passeriformes,spuh
Spectacled Tyrant,Hymenops perspicillatus,Hymenops,Tyrannidae,Passeriformes,species
Drab Water Tyrant,Ochthornis littoralis,Ochthornis,Tyrannidae,Passeriformes,species
Yellow-browed Tyrant,Satrapa icterophrys,Satrapa,Tyrannidae,Passeriformes,species
Little Ground-Tyrant,Syrtidicola fluviatilis,Syrtidicola,Tyrannidae,Passeriformes,species
Spot-billed Ground-Tyrant,Muscisaxicola maculirostris,Muscisaxicola,Tyrannidae,Passeriformes,species
Taczanowski's Ground-Tyrant,Muscisaxicola griseus,Muscisaxicola,Tyrannidae,Passeriformes,species
Puna Ground-Tyrant,Muscisaxicola juninensis,Muscisaxicola,Tyrannidae,Passeriformes,species
Cinereous Ground-Tyrant,Muscisaxicola cinereus,Muscisaxicola,Tyrannidae,Passeriformes,species
White-fronted Ground-Tyrant,Muscisaxicola albifrons,Muscisaxicola,Tyrannidae,Passeriformes,species
Ochre-naped Ground-Tyrant,Muscisaxicola flavinucha,Muscisaxicola,Tyrannidae,Passeriformes,species
Rufous-naped Ground-Tyrant,Muscisaxicola rufivertex,Muscisaxicola,Tyrannidae,Passeriformes,species
Rufous-naped Ground-Tyrant (Chestnut-naped),Muscisaxicola rufivertex occipitalis,Muscisaxicola,Tyrannidae,Passeriformes,group (monotypic)
Rufous-naped Ground-Tyrant (pallidiceps),Muscisaxicola rufivertex pallidiceps,Muscisaxicola,Tyrannidae,Passeriformes,group (monotypic)
Rufous-naped Ground-Tyrant (Rufous-naped),Muscisaxicola rufivertex rufivertex,Muscisaxicola,Tyrannidae,Passeriformes,group (monotypic)
Dark-faced Ground-Tyrant,Muscisaxicola maclovianus,Muscisaxicola,Tyrannidae,Passeriformes,species
Dark-faced Ground-Tyrant (mentalis),Muscisaxicola maclovianus mentalis,Muscisaxicola,Tyrannidae,Passeriformes,group (monotypic)
Dark-faced Ground-Tyrant (maclovianus),Muscisaxicola maclovianus maclovianus,Muscisaxicola,Tyrannidae,Passeriformes,group (monotypic)
White-browed Ground-Tyrant,Muscisaxicola albilora,Muscisaxicola,Tyrannidae,Passeriformes,species
Plain-capped Ground-Tyrant,Muscisaxicola alpinus,Muscisaxicola,Tyrannidae,Passeriformes,species
Cinnamon-bellied Ground-Tyrant,Muscisaxicola capistratus,Muscisaxicola,Tyrannidae,Passeriformes,species
Black-fronted Ground-Tyrant,Muscisaxicola frontalis,Muscisaxicola,Tyrannidae,Passeriformes,species
ground-tyrant sp.,Muscisaxicola sp.,Muscisaxicola,Tyrannidae,Passeriformes,spuh
Red-rumped Bush-Tyrant,Cnemarchus erythropygius,Cnemarchus,Tyrannidae,Passeriformes,species
Rufous-webbed Bush-Tyrant,Cnemarchus rufipennis,Cnemarchus,Tyrannidae,Passeriformes,species
Fire-eyed Diucon,Pyrope pyrope,Pyrope,Tyrannidae,Passeriformes,species
White-rumped Monjita,Xolmis velatus,Xolmis,Tyrannidae,Passeriformes,species
White Monjita,Xolmis irupero,Xolmis,Tyrannidae,Passeriformes,species
Gray Monjita,Nengetus cinereus,Nengetus,Tyrannidae,Passeriformes,species
Black-crowned Monjita,Neoxolmis coronatus,Neoxolmis,Tyrannidae,Passeriformes,species
Salinas Monjita,Neoxolmis salinarum,Neoxolmis,Tyrannidae,Passeriformes,species
Rusty-backed Monjita,Neoxolmis rubetra,Neoxolmis,Tyrannidae,Passeriformes,species
Chocolate-vented Tyrant,Neoxolmis rufiventris,Neoxolmis,Tyrannidae,Passeriformes,species
Black-billed Shrike-Tyrant,Agriornis montanus,Agriornis,Tyrannidae,Passeriformes,species
White-tailed Shrike-Tyrant,Agriornis albicauda,Agriornis,Tyrannidae,Passeriformes,species
Great Shrike-Tyrant,Agriornis lividus,Agriornis,Tyrannidae,Passeriformes,species
Gray-bellied Shrike-Tyrant,Agriornis micropterus,Agriornis,Tyrannidae,Passeriformes,species
Gray-bellied Shrike-Tyrant (andecola),Agriornis micropterus andecola,Agriornis,Tyrannidae,Passeriformes,group (monotypic)
Gray-bellied Shrike-Tyrant (micropterus),Agriornis micropterus micropterus,Agriornis,Tyrannidae,Passeriformes,group (monotypic)
Great/Gray-bellied Shrike-Tyrant,Agriornis lividus/micropterus,Agriornis,Tyrannidae,Passeriformes,slash
Lesser Shrike-Tyrant,Agriornis murinus,Agriornis,Tyrannidae,Passeriformes,species
shrike-tyrant sp.,Agriornis sp.,Agriornis,Tyrannidae,Passeriformes,spuh
Streak-throated Bush-Tyrant,Myiotheretes striaticollis,Myiotheretes,Tyrannidae,Passeriformes,species
Santa Marta Bush-Tyrant,Myiotheretes pernix,Myiotheretes,Tyrannidae,Passeriformes,species
Smoky Bush-Tyrant,Myiotheretes fumigatus,Myiotheretes,Tyrannidae,Passeriformes,species
Rufous-bellied Bush-Tyrant,Myiotheretes fuscorufus,Myiotheretes,Tyrannidae,Passeriformes,species
Myiotheretes sp.,Myiotheretes sp.,Myiotheretes,Tyrannidae,Passeriformes,spuh
White-headed Marsh Tyrant,Arundinicola leucocephala,Arundinicola,Tyrannidae,Passeriformes,species
Pied Water-Tyrant,Fluvicola pica,Fluvicola,Tyrannidae,Passeriformes,species
Black-backed Water-Tyrant,Fluvicola albiventer,Fluvicola,Tyrannidae,Passeriformes,species
Masked Water-Tyrant,Fluvicola nengeta,Fluvicola,Tyrannidae,Passeriformes,species
Shear-tailed Gray Tyrant,Muscipipra vetula,Muscipipra,Tyrannidae,Passeriformes,species
Streamer-tailed Tyrant,Gubernetes yetapa,Gubernetes,Tyrannidae,Passeriformes,species
Black-and-white Monjita,Heteroxolmis dominicana,Heteroxolmis,Tyrannidae,Passeriformes,species
Cock-tailed Tyrant,Alectrurus tricolor,Alectrurus,Tyrannidae,Passeriformes,species
Strange-tailed Tyrant,Alectrurus risora,Alectrurus,Tyrannidae,Passeriformes,species
Crowned Chat-Tyrant,Silvicultrix frontalis,Silvicultrix,Tyrannidae,Passeriformes,species
Crowned Chat-Tyrant (Crowned),Silvicultrix frontalis frontalis/albidiadema,Silvicultrix,Tyrannidae,Passeriformes,group (polytypic)
Crowned Chat-Tyrant (Kalinowski's),Silvicultrix frontalis spodionota/boliviana,Silvicultrix,Tyrannidae,Passeriformes,group (polytypic)
Jelski's Chat-Tyrant,Silvicultrix jelskii,Silvicultrix,Tyrannidae,Passeriformes,species
Golden-browed Chat-Tyrant,Silvicultrix pulchella,Silvicultrix,Tyrannidae,Passeriformes,species
Yellow-bellied Chat-Tyrant,Silvicultrix diadema,Silvicultrix,Tyrannidae,Passeriformes,species
Patagonian Tyrant,Colorhamphus parvirostris,Colorhamphus,Tyrannidae,Passeriformes,species
Tumbes Chat-Tyrant,Ochthoeca salvini,Ochthoeca,Tyrannidae,Passeriformes,species
Chestnut-bellied Chat-Tyrant,Ochthoeca cinnamomeiventris,Ochthoeca,Tyrannidae,Passeriformes,species
Blackish Chat-Tyrant,Ochthoeca nigrita,Ochthoeca,Tyrannidae,Passeriformes,species
Maroon-belted Chat-Tyrant,Ochthoeca thoracica,Ochthoeca,Tyrannidae,Passeriformes,species
Rufous-breasted Chat-Tyrant,Ochthoeca rufipectoralis,Ochthoeca,Tyrannidae,Passeriformes,species
Brown-backed Chat-Tyrant,Ochthoeca fumicolor,Ochthoeca,Tyrannidae,Passeriformes,species
Rufous-browed Chat-Tyrant,Ochthoeca superciliosa,Ochthoeca,Tyrannidae,Passeriformes,species
d'Orbigny's Chat-Tyrant,Ochthoeca oenanthoides,Ochthoeca,Tyrannidae,Passeriformes,species
Piura Chat-Tyrant,Ochthoeca piurae,Ochthoeca,Tyrannidae,Passeriformes,species
White-browed Chat-Tyrant,Ochthoeca leucophrys,Ochthoeca,Tyrannidae,Passeriformes,species
chat-tyrant sp.,Silvicultrix/Ochthoeca sp.,Silvicultrix/Ochthoeca,Tyrannidae,Passeriformes,spuh
Long-tailed Tyrant,Colonia colonus,Colonia,Tyrannidae,Passeriformes,species
Short-tailed Field Tyrant,Muscigralla brevicauda,Muscigralla,Tyrannidae,Passeriformes,species
Large-headed Flatbill,Ramphotrigon megacephalum,Ramphotrigon,Tyrannidae,Passeriformes,species
Rufous-tailed Flatbill,Ramphotrigon ruficauda,Ramphotrigon,Tyrannidae,Passeriformes,species
Flammulated Flycatcher,Ramphotrigon flammulatum,Ramphotrigon,Tyrannidae,Passeriformes,species
Dusky-tailed Flatbill,Ramphotrigon fuscicauda,Ramphotrigon,Tyrannidae,Passeriformes,species
Ramphotrigon sp.,Ramphotrigon sp.,Ramphotrigon,Tyrannidae,Passeriformes,spuh
Rufous-tailed Attila,Attila phoenicurus,Attila,Tyrannidae,Passeriformes,species
Cinnamon Attila,Attila cinnamomeus,Attila,Tyrannidae,Passeriformes,species
Ochraceous Attila,Attila torridus,Attila,Tyrannidae,Passeriformes,species
Citron-bellied Attila,Attila citriniventris,Attila,Tyrannidae,Passeriformes,species
Dull-capped Attila,Attila bolivianus,Attila,Tyrannidae,Passeriformes,species
Gray-hooded Attila,Attila rufus,Attila,Tyrannidae,Passeriformes,species
Bright-rumped Attila,Attila spadiceus,Attila,Tyrannidae,Passeriformes,species
Bright-rumped Attila (Northern),Attila spadiceus [flammulatus Group],Attila,Tyrannidae,Passeriformes,group (polytypic)
Bright-rumped Attila (Southern),Attila spadiceus spadiceus/uropygiatus,Attila,Tyrannidae,Passeriformes,group (polytypic)
attila sp.,Attila sp.,Attila,Tyrannidae,Passeriformes,spuh
Choco Sirystes,Sirystes albogriseus,Sirystes,Tyrannidae,Passeriformes,species
White-rumped Sirystes,Sirystes albocinereus,Sirystes,Tyrannidae,Passeriformes,species
Todd's Sirystes,Sirystes subcanescens,Sirystes,Tyrannidae,Passeriformes,species
Sibilant Sirystes,Sirystes sibilator,Sirystes,Tyrannidae,Passeriformes,species
sirystes sp.,Sirystes sp.,Sirystes,Tyrannidae,Passeriformes,spuh
Rufous Casiornis,Casiornis rufus,Casiornis,Tyrannidae,Passeriformes,species
Ash-throated Casiornis,Casiornis fuscus,Casiornis,Tyrannidae,Passeriformes,species
Rufous Mourner,Rhytipterna holerythra,Rhytipterna,Tyrannidae,Passeriformes,species
Grayish Mourner,Rhytipterna simplex,Rhytipterna,Tyrannidae,Passeriformes,species
Pale-bellied Mourner,Rhytipterna immunda,Rhytipterna,Tyrannidae,Passeriformes,species
Rufous Flycatcher,Myiarchus semirufus,Myiarchus,Tyrannidae,Passeriformes,species
Yucatan Flycatcher,Myiarchus yucatanensis,Myiarchus,Tyrannidae,Passeriformes,species
Sad Flycatcher,Myiarchus barbirostris,Myiarchus,Tyrannidae,Passeriformes,species
Dusky-capped Flycatcher,Myiarchus tuberculifer,Myiarchus,Tyrannidae,Passeriformes,species
Dusky-capped Flycatcher (olivascens),Myiarchus tuberculifer olivascens,Myiarchus,Tyrannidae,Passeriformes,group (monotypic)
Dusky-capped Flycatcher (lawrenceii Group),Myiarchus tuberculifer [lawrenceii Group],Myiarchus,Tyrannidae,Passeriformes,group (polytypic)
Dusky-capped Flycatcher (tuberculifer/pallidus),Myiarchus tuberculifer tuberculifer/pallidus,Myiarchus,Tyrannidae,Passeriformes,group (polytypic)
Dusky-capped Flycatcher (nigriceps/atriceps),Myiarchus tuberculifer nigriceps/atriceps,Myiarchus,Tyrannidae,Passeriformes,group (polytypic)
Swainson's Flycatcher,Myiarchus swainsoni,Myiarchus,Tyrannidae,Passeriformes,species
Swainson's Flycatcher (phaeonotus),Myiarchus swainsoni phaeonotus,Myiarchus,Tyrannidae,Passeriformes,group (monotypic)
Swainson's Flycatcher (swainsoni Group),Myiarchus swainsoni [swainsoni Group],Myiarchus,Tyrannidae,Passeriformes,group (polytypic)
Venezuelan Flycatcher,Myiarchus venezuelensis,Myiarchus,Tyrannidae,Passeriformes,species
Panama Flycatcher,Myiarchus panamensis,Myiarchus,Tyrannidae,Passeriformes,species
Venezuelan/Panama Flycatcher,Myiarchus venezuelensis/panamensis,Myiarchus,Tyrannidae,Passeriformes,slash
Short-crested Flycatcher,Myiarchus ferox,Myiarchus,Tyrannidae,Passeriformes,species
Apical Flycatcher,Myiarchus apicalis,Myiarchus,Tyrannidae,Passeriformes,species
Sooty-crowned Flycatcher,Myiarchus phaeocephalus,Myiarchus,Tyrannidae,Passeriformes,species
Sooty-crowned Flycatcher (phaeocephalus),Myiarchus phaeocephalus phaeocephalus,Myiarchus,Tyrannidae,Passeriformes,group (monotypic)
Sooty-crowned Flycatcher (interior),Myiarchus phaeocephalus interior,Myiarchus,Tyrannidae,Passeriformes,group (monotypic)
Pale-edged Flycatcher,Myiarchus cephalotes,Myiarchus,Tyrannidae,Passeriformes,species
Ash-throated Flycatcher,Myiarchus cinerascens,Myiarchus,Tyrannidae,Passeriformes,species
Nutting's Flycatcher,Myiarchus nuttingi,Myiarchus,Tyrannidae,Passeriformes,species
Nutting's Flycatcher (Mexican),Myiarchus nuttingi inquietus,Myiarchus,Tyrannidae,Passeriformes,group (monotypic)
Nutting's Flycatcher (Central American),Myiarchus nuttingi nuttingi,Myiarchus,Tyrannidae,Passeriformes,group (monotypic)
Salvadoran Flycatcher,Myiarchus flavidior,Myiarchus,Tyrannidae,Passeriformes,species
Ash-throated/Nutting's Flycatcher,Myiarchus cinerascens/nuttingi,Myiarchus,Tyrannidae,Passeriformes,slash
Ash-throated/Salvadoran Flycatcher,Myiarchus cinerascens/flavidior,Myiarchus,Tyrannidae,Passeriformes,slash
Ash-throated/Nutting's/Salvadoran Flycatcher,Myiarchus cinerascens/nuttingi/flavidior,Myiarchus,Tyrannidae,Passeriformes,slash
Nutting's/Salvadoran Flycatcher,Myiarchus nuttingi/flavidior,Myiarchus,Tyrannidae,Passeriformes,slash
Great Crested Flycatcher,Myiarchus crinitus,Myiarchus,Tyrannidae,Passeriformes,species
Brown-crested Flycatcher,Myiarchus tyrannulus,Myiarchus,Tyrannidae,Passeriformes,species
Brown-crested Flycatcher (Arizona),Myiarchus tyrannulus magister,Myiarchus,Tyrannidae,Passeriformes,group (monotypic)
Brown-crested Flycatcher (Cooper's),Myiarchus tyrannulus [cooperi Group],Myiarchus,Tyrannidae,Passeriformes,group (polytypic)
Brown-crested Flycatcher (Ometepe),Myiarchus tyrannulus brachyurus,Myiarchus,Tyrannidae,Passeriformes,group (monotypic)
Brown-crested Flycatcher (South American),Myiarchus tyrannulus tyrannulus/bahiae,Myiarchus,Tyrannidae,Passeriformes,group (polytypic)
Galapagos Flycatcher,Myiarchus magnirostris,Myiarchus,Tyrannidae,Passeriformes,species
Grenada Flycatcher,Myiarchus nugator,Myiarchus,Tyrannidae,Passeriformes,species
Rufous-tailed Flycatcher,Myiarchus validus,Myiarchus,Tyrannidae,Passeriformes,species
La Sagra's Flycatcher,Myiarchus sagrae,Myiarchus,Tyrannidae,Passeriformes,species
Stolid Flycatcher,Myiarchus stolidus,Myiarchus,Tyrannidae,Passeriformes,species
Puerto Rican Flycatcher,Myiarchus antillarum,Myiarchus,Tyrannidae,Passeriformes,species
Lesser Antillean Flycatcher,Myiarchus oberi,Myiarchus,Tyrannidae,Passeriformes,species
Myiarchus sp.,Myiarchus sp.,Myiarchus,Tyrannidae,Passeriformes,spuh
Cattle Tyrant,Machetornis rixosa,Machetornis,Tyrannidae,Passeriformes,species
Lesser Kiskadee,Philohydor lictor,Philohydor,Tyrannidae,Passeriformes,species
Great Kiskadee,Pitangus sulphuratus,Pitangus,Tyrannidae,Passeriformes,species
Boat-billed Flycatcher,Megarynchus pitangua,Megarynchus,Tyrannidae,Passeriformes,species
Boat-billed Flycatcher (Northern),Megarynchus pitangua [mexicanus Group],Megarynchus,Tyrannidae,Passeriformes,group (polytypic)
Boat-billed Flycatcher (South American),Megarynchus pitangua pitangua,Megarynchus,Tyrannidae,Passeriformes,group (monotypic)
Boat-billed Flycatcher (Tumbes),Megarynchus pitangua chrysogaster,Megarynchus,Tyrannidae,Passeriformes,group (monotypic)
Rusty-margined Flycatcher,Myiozetetes cayanensis,Myiozetetes,Tyrannidae,Passeriformes,species
Social Flycatcher,Myiozetetes similis,Myiozetetes,Tyrannidae,Passeriformes,species
Social Flycatcher (Vermilion-crowned),Myiozetetes similis [texensis Group],Myiozetetes,Tyrannidae,Passeriformes,group (polytypic)
Social Flycatcher (Social),Myiozetetes similis [similis Group],Myiozetetes,Tyrannidae,Passeriformes,group (polytypic)
Social Flycatcher (Tumbes),Myiozetetes similis grandis,Myiozetetes,Tyrannidae,Passeriformes,group (monotypic)
Rusty-margined/Social Flycatcher,Myiozetetes cayanensis/similis,Myiozetetes,Tyrannidae,Passeriformes,slash
Gray-capped Flycatcher,Myiozetetes granadensis,Myiozetetes,Tyrannidae,Passeriformes,species
Dusky-chested Flycatcher,Myiozetetes luteiventris,Myiozetetes,Tyrannidae,Passeriformes,species
Gray-capped/Dusky-chested Flycatcher,Myiozetetes granadensis/luteiventris,Myiozetetes,Tyrannidae,Passeriformes,slash
White-bearded Flycatcher,Phelpsia inornata,Phelpsia,Tyrannidae,Passeriformes,species
White-ringed Flycatcher,Conopias albovittatus,Conopias,Tyrannidae,Passeriformes,species
