Lamprospiza melanoleuca_Red-billed Pied Tanager
Psarocolius viridis_Green Oropendola
Pionus fuscus_Dusky Parrot
Orthopsittaca manilatus_Red-bellied Macaw
Phaethornis superciliosus_Long-tailed Hermit
Philydor erythrocercum_Rufous-rumped Foliage-gleaner
Amaurospiza moesta_Blackish-blue Seedeater
Parkerthraustes humeralis_Yellow-shouldered Grosbeak
Thraupis episcopus_Blue-gray Tanager
Ibycter americanus_Red-throated Caracara
Pteroglossus aracari_Black-necked Aracari
Trogon viridis_Green-backed Trogon
Mitu tuberosum_Razor-billed Curassow
Chaetura spinicaudus_Band-rumped Swift
Sporophila minuta_Ruddy-breasted Seedeater
Brotogeris chrysoptera_Golden-winged Parakeet
Deroptyus accipitrinus_Red-fan Parrot
Anas acuta_Northern Pintail
Todirostrum chrysocrotaphum_Yellow-browed Tody-Flycatcher
Tringa erythropus_Spotted Redshank
Phlegopsis nigromaculata_Black-spotted Bare-eye
Antilophia galeata_Helmeted Manakin
Curruca conspicillata_Spectacled Warbler
Amazona farinosa_Mealy Parrot
Ciccaba virgata_Mottled Owl
Falco tinnunculus_Eurasian Kestrel
Anthus trivialis_Tree Pipit
Pseudopipra pipra_White-crowned Manakin
Helicolestes hamatus_Slender-billed Kite
Streptopelia turtur_European Turtle-Dove
Coryphospingus cucullatus_Red-crested Finch
Calidris minuta_Little Stint
Tolmomyias poliocephalus_Gray-crowned Flycatcher
Galbula dea_Paradise Jacamar
Melanopareia torquata_Collared Crescentchest
Caryothraustes canadensis_Yellow-green Grosbeak
Tangara mexicana_Turquoise Tanager
Isleria hauxwelli_Plain-throated Antwren
Elaenia parvirostris_Small-billed Elaenia
Ardea cinerea_Gray Heron
Polytmus theresiae_Green-tailed Goldenthroat
Lophotriccus galeatus_Helmeted Pygmy-Tyrant
Circus pygargus_Montagu's Harrier
Tringa ochropus_Green Sandpiper
Ramphastos toco_Toco Toucan
Tyrannulus elatus_Yellow-crowned Tyrannulet
Upupa epops_Eurasian Hoopoe
Phaethornis nattereri_Cinnamon-throated Hermit
Nyctiphrynus ocellatus_Ocellated Poorwill
Larus fuscus_Lesser Black-backed Gull
Coturnix coturnix_Common Quail
Galbula cyanicollis_Blue-cheeked Jacamar
Laterallus jamaicensis_Black Rail
Bulweria bulwerii_Bulwer's Petrel
Cochlearius cochlearius_Boat-billed Heron
Crypturellus variegatus_Variegated Tinamou
Tringa glareola_Wood Sandpiper
Chaetura brachyura_Short-tailed Swift
Myiobius barbatus_Whiskered Flycatcher
Charadrius hiaticula_Common Ringed Plover
Alaemon alaudipes_Greater Hoopoe-Lark
Actitis hypoleucos_Common Sandpiper
Morphnus guianensis_Crested Eagle
Todirostrum maculatum_Spotted Tody-Flycatcher
Malacoptila rufa_Rufous-necked Puffbird
Dendrocygna bicolor_Fulvous Whistling-Duck
Calidris pugnax_Ruff
Glareola pratincola_Collared Pratincole
Malacoptila striata_Crescent-chested Puffbird
Fulica atra_Eurasian Coot
Herpsilochmus frater_Rusty-winged Antwren
Neomorphus geoffroyi_Rufous-vented Ground-Cuckoo
Leistes militaris_Red-breasted Meadowlark
Eremopterix nigriceps_Black-crowned Sparrow-Lark
Tringa nebularia_Common Greenshank
Pygochelidon cyanoleuca_Blue-and-white Swallow
Hylophilus pectoralis_Ashy-headed Greenlet
Attila cinnamomeus_Cinnamon Attila
Anas crecca_Green-winged Teal
Himantopus himantopus_Black-winged Stilt
Circus aeruginosus_Eurasian Marsh-Harrier
Spatula discors_Blue-winged Teal
Tringa totanus_Common Redshank
Limosa limosa_Black-tailed Godwit
Haematopus ostralegus_Eurasian Oystercatcher
Gallinula chloropus_Eurasian Moorhen
Merops apiaster_European Bee-eater
Gallinago gallinago_Common Snipe
Amaurolimnas concolor_Uniform Crake
Egretta gularis_Western Reef-Heron
Nyctibius aethereus_Long-tailed Potoo
Pygiptila stellaris_Spot-winged Antshrike
Calidris ferruginea_Curlew Sandpiper
Ammomanes cinctura_Bar-tailed Lark
Calidris alpina_Dunlin
Turdus nudigenis_Spectacled Thrush
Cecropis daurica_Red-rumped Swallow
Calidris temminckii_Temminck's Stint
Corvus ruficollis_Brown-necked Raven
Rhopospina caerulescens_Blue Finch
Certhiasomus stictolaemus_Spot-throated Woodcreeper
Conopias trivirgatus_Three-striped Flycatcher
Zebrilus undulatus_Zigzag Heron
Milvus milvus_Red Kite
Guaruba guarouba_Golden Parakeet
Phylloscopus trochilus_Willow Warbler
Agelasticus cyanopus_Unicolored Blackbird
Hylocharis sapphirina_Rufous-throated Sapphire
Oenanthe oenanthe_Northern Wheatear
Dendroma erythroptera_Chestnut-winged Foliage-gleaner
Parabuteo unicinctus_Harris's Hawk
Accipiter superciliosus_Tiny Hawk
Dendrocincla merula_White-chinned Woodcreeper
Deconychura longicauda_Long-tailed Woodcreeper
Apus apus_Common Swift
Bucco capensis_Collared Puffbird
Anthus cervinus_Red-throated Pipit
Charitospiza eucosma_Coal-crested Finch
Ardea purpurea_Purple Heron
