Quiscalus mexicanus_Great-tailed Grackle
Aythya collaris_Ring-necked Duck
Glaucidium griseiceps_Central American Pygmy-Owl
Vireo huttoni_Hutton's Vireo
Cistothorus platensis_Grass Wren
Ortalis cinereiceps_Gray-headed Chachalaca
Thalasseus elegans_Elegant Tern
Larus fuscus_Lesser Black-backed Gull
Antrostomus vociferus_Eastern Whip-poor-will
Colonia colonus_Long-tailed Tyrant
Henicorhina leucophrys_Gray-breasted Wood-Wren
Procnias tricarunculatus_Three-wattled Bellbird
Thamnophilus atrinucha_Black-crowned Antshrike
Zenaida aurita_Zenaida Dove
Dacnis cayana_Blue Dacnis
Larus delawarensis_Ring-billed Gull
Hylophylax naevioides_Spotted Antbird
Piranga ludoviciana_Western Tanager
Trogon rufus_Black-throated Trogon
Poliocrania exsul_Chestnut-backed Antbird
Cacicus uropygialis_Scarlet-rumped Cacique
Peucaea ruficauda_Stripe-headed Sparrow
