Pelecanus occidentalis_Brown Pelican
Platyrinchus flavigularis_Yellow-throated Spadebill
Myiotheretes striaticollis_Streak-throated Bush-Tyrant
Chauna chavaria_Northern Screamer
Thalurania colombica_Crowned Woodnymph
Ochthoeca diadema_Yellow-bellied Chat-Tyrant
Heliangelus amethysticollis_Amethyst-throated Sunangel
Myiotheretes fumigatus_Smoky Bush-Tyrant
Spinus psaltria_Lesser Goldfinch
Synallaxis unirufa_Rufous Spinetail
Asio flammeus_Short-eared Owl
Setophaga cerulea_Cerulean Warbler
Conirostrum sitticolor_Blue-backed Conebill
Dacnis cayana_Blue Dacnis
Todirostrum nigriceps_Black-headed Tody-Flycatcher
Pipreola aureopectus_Golden-breasted Fruiteater
Arremonops conirostris_Black-striped Sparrow
Anisognathus lacrymosus_Lacrimose Mountain Tanager
Penelope argyrotis_Band-tailed Guan
Harpagus bidentatus_Double-toothed Kite
Metallura tyrianthina_Tyrian Metaltail
Aburria aburri_Wattled Guan
Phyllomyias griseiceps_Sooty-headed Tyrannulet
Grallaricula ferrugineipectus_Rusty-breasted Antpitta
Tangara gyrola_Bay-headed Tanager
Cyanoloxia cyanoides_Blue-black Grosbeak
Anabacerthia striaticollis_Montane Foliage-gleaner
Psittacara wagleri_Scarlet-fronted Parakeet
Icterus spurius_Orchard Oriole
Rhynchocyclus olivaceus_Olivaceous Flatbill
Melopyrrha violacea_Greater Antillean Bullfinch
Vireo flavifrons_Yellow-throated Vireo
Pachyramphus cinnamomeus_Cinnamon Becard
Chlorophonia cyanea_Blue-naped Chlorophonia
Setophaga pitiayumi_Tropical Parula
Stilpnia cyanoptera_Black-headed Tanager
Myiothlypis cinereicollis_Gray-throated Warbler
Tityra inquisitor_Black-crowned Tityra
Turdus fulviventris_Chestnut-bellied Thrush
Nothocercus bonapartei_Highland Tinamou
Antrostomus carolinensis_Chuck-will's-widow
Cochlearius cochlearius_Boat-billed Heron
Ara ararauna_Blue-and-yellow Macaw
Lonchura malacca_Tricolored Munia
Clytoctantes alixii_Recurve-billed Bushbird
Setophaga pinus_Pine Warbler
Colibri cyanotus_Lesser Violetear
Ceratopipra erythrocephala_Golden-headed Manakin
Diglossa sittoides_Rusty Flowerpiercer
Pharomachrus antisianus_Crested Quetzal
Penelope purpurascens_Crested Guan
Calidris subruficollis_Buff-breasted Sandpiper
Zentrygon linearis_Lined Quail-Dove
Loriotus luctuosus_White-shouldered Tanager
Xiphocolaptes promeropirhynchus_Strong-billed Woodcreeper
Setophaga dominica_Yellow-throated Warbler
Pseudocolaptes boissonneautii_Streaked Tuftedcheek
Ammodramus savannarum_Grasshopper Sparrow
Ara severus_Chestnut-fronted Macaw
Pseudastur albicollis_White Hawk
Sporophila crassirostris_Large-billed Seed-Finch
Penelope montagnii_Andean Guan
Atlapetes latinuchus_Yellow-breasted Brushfinch
Oncostoma olivaceum_Southern Bentbill
Phaethon aethereus_Red-billed Tropicbird
